 Sample   Time     Commanded Pos   Encoder 1 Pos 

[    0    0.000            3000               4;
   337    2.984               0             218;
   338    2.993               0             218;
   339    3.002               0             218;
   340    3.010           -3000             206;
   341    3.019           -3000             145;
   342    3.028           -3000              47;
   343    3.037           -3000             -79;
   344    3.046           -3000            -224;
   345    3.055           -3000            -384;
   346    3.064           -3000            -554;
   347    3.072           -3000            -732;
   348    3.081           -3000            -911;
   349    3.090           -3000           -1093;
   350    3.099           -3000           -1294;
   351    3.108           -3000           -1461;
   352    3.117           -3000           -1626;
   353    3.126           -3000           -1789;
   354    3.134           -3000           -1949;
   355    3.143           -3000           -2105;
   356    3.152           -3000           -2256;
   357    3.161           -3000           -2401;
   358    3.170           -3000           -2540;
   359    3.179           -3000           -2672;
   360    3.188           -3000           -2800;
   361    3.196           -3000           -2923;
   362    3.205           -3000           -3042;
   363    3.214           -3000           -3156;
   364    3.223           -3000           -3264;
   365    3.232           -3000           -3368;
   366    3.241           -3000           -3465;
   367    3.249           -3000           -3555;
   368    3.258           -3000           -3639;
   369    3.267           -3000           -3719;
   370    3.276           -3000           -3794;
   371    3.285           -3000           -3866;
   372    3.294           -3000           -3933;
   373    3.303           -3000           -3995;
   374    3.311           -3000           -4053;
   375    3.320           -3000           -4106;
   376    3.329           -3000           -4154;
   377    3.338           -3000           -4200;
   378    3.347           -3000           -4242;
   379    3.356           -3000           -4281;
   380    3.365           -3000           -4316;
   381    3.373           -3000           -4350;
   382    3.382           -3000           -4380;
   383    3.391           -3000           -4407;
   384    3.400           -3000           -4431;
   385    3.409           -3000           -4454;
   386    3.418           -3000           -4476;
   387    3.427           -3000           -4495;
   388    3.435           -3000           -4512;
   389    3.444           -3000           -4526;
   390    3.453           -3000           -4539;
   391    3.462           -3000           -4549;
   392    3.471           -3000           -4558;
   393    3.480           -3000           -4566;
   394    3.489           -3000           -4573;
   395    3.497           -3000           -4578;
   396    3.506           -3000           -4582;
   397    3.515           -3000           -4584;
   398    3.524           -3000           -4585;
   399    3.533           -3000           -4586;
   400    3.542           -3000           -4586;
   401    3.551           -3000           -4588;
   402    3.559           -3000           -4589;
   403    3.568           -3000           -4590;
   404    3.577           -3000           -4590;
   405    3.586           -3000           -4591;
   406    3.595           -3000           -4591;
   407    3.604           -3000           -4592;
   408    3.613           -3000           -4592;
   409    3.621           -3000           -4593;
   410    3.630           -3000           -4594;
   411    3.639           -3000           -4594;
   412    3.648           -3000           -4594;
   413    3.657           -3000           -4595;
   414    3.666           -3000           -4595;
   415    3.674           -3000           -4595;
   416    3.683           -3000           -4596;
   417    3.692           -3000           -4597;
   418    3.701           -3000           -4598;
   419    3.710           -3000           -4598;
   420    3.719           -3000           -4598;
   421    3.728           -3000           -4598;
   422    3.736           -3000           -4598;
   423    3.745           -3000           -4599;
   424    3.754           -3000           -4600;
   425    3.763           -3000           -4601;
   426    3.772           -3000           -4601;
   427    3.781           -3000           -4602;
   428    3.790           -3000           -4602;
   429    3.798           -3000           -4603;
   430    3.807           -3000           -4603;
   431    3.816           -3000           -4604;
   432    3.825           -3000           -4604;
   433    3.834           -3000           -4605;
   434    3.843           -3000           -4605;
   435    3.852           -3000           -4606;
   436    3.860           -3000           -4606;
   437    3.869           -3000           -4607;
   438    3.878           -3000           -4608;
   439    3.887           -3000           -4608;
   440    3.896           -3000           -4608;
   441    3.905           -3000           -4609;
   442    3.914           -3000           -4609;
   443    3.922           -3000           -4610;
   444    3.931           -3000           -4610;
   445    3.940           -3000           -4610;
   446    3.949           -3000           -4610;
   447    3.958           -3000           -4611;
   448    3.967           -3000           -4611;
   449    3.976           -3000           -4612;
   450    3.984           -3000           -4612;
   451    3.993           -3000           -4612;
   452    4.002           -3000           -4613;
   453    4.011           -3000           -4613;
   454    4.020           -3000           -4613;
   455    4.029           -3000           -4613;
   456    4.038           -3000           -4613;
   457    4.046           -3000           -4614;
   458    4.055           -3000           -4615;
   459    4.064           -3000           -4615;
   460    4.073           -3000           -4615;
   461    4.082           -3000           -4615;
   462    4.091           -3000           -4615;
   463    4.099           -3000           -4616;
   464    4.108           -3000           -4616;
   465    4.117           -3000           -4616;
   466    4.126           -3000           -4616;
   467    4.135           -3000           -4617;
   468    4.144           -3000           -4617;
   469    4.153           -3000           -4617;
   470    4.161           -3000           -4618;
   471    4.170           -3000           -4618;
   472    4.179           -3000           -4618;
   473    4.188           -3000           -4618;
   474    4.197           -3000           -4618;
   475    4.206           -3000           -4618;
   476    4.215           -3000           -4618;
   477    4.223           -3000           -4618;
   478    4.232           -3000           -4619;
   479    4.241           -3000           -4619;
   480    4.250           -3000           -4620;
   481    4.259           -3000           -4620;
   482    4.268           -3000           -4620;
   483    4.277           -3000           -4620;
